"key","English","Russian"
/---------- Localisation ----------/
"initialize_default","Initialize","Инициализация"
"initialize_user","Initialize User","Инициализация Пользователя"
"initialize_addressables","Initialize Resources","Инициализация Ресурсов"
"initialize_scenes","Initialize Scenes","Инициализация Сцен"
"initialize_1","Initialize 1","Инициализация 1"
"initialize_2","Initialize 2","Инициализация 2"
"initialize_launch","Launch","Запуск"
"load_scene","Load Scene","Загрузка Сцены"
/---------- Settings ----------/
"settings_graphic_low","Low","Low"
"settings_graphic_medium","Medium","Medium"
"settings_graphic_high","High","High"
/---------- Menu ----------/
"settings_menu_title","Settings","Настройки"
"production_menu_title","Production","Создание"
"production_menu_button_title","Craft","Создать"
"storage_menu_title","Storage","Склад"
"units_menu_title","Units","Солдаты"
"order_menu_title","Orders","Заказы"
"order_menu_button_title","Trade","Обменять"
"upgrade_title","Upgrade","Улучшение"
"upgrade_button_title","Upgrade","Улучшить"
"select_button_title","Select","Выбрать"
"conversion_menu_title","Conversion","Конвертация"
"conversion_menu_button_title","Convert","Конвертировать"
"craft_cell_complete","Complete","Готово"
"expedition_complete","Expedition complete","Экспедиция завершена"
/---------- Raw ----------/
"raw_none,"None","Пусто"
"raw_weapon","Weapon","Оружие"
"raw_armor","Armor","Броня"
"raw_engine","Engine","Двигатель"
"raw_battery","Battery","Батарея"
"raw_all,"All","Все"
/---------- Weapon Group ----------/
"group_type_none","None","Пусто"
"group_type_weapon","Weapon","Оружие"
"group_type_armor","Armor","Броня"
"group_type_engine","Engine","Двигатель"
"group_type_battery","Battery","Батарея"
"group_type_all","All","Все"
/---------- Units ----------/
"unit_none","None","Пусто"
"unit_trooper","Trooper","Штурмовик"
"unit_defender","Defender","Защитник"
"unit_support","Support","Поддержка"
"unit_sniper","Sniper","Снайпер"
"unit_all","All","Все"
/*---------- Expeditions ----------*/
"location1_title","Location 1","Зона 1"
"location2_title","Location 2","Зона 2"
/---------- Popup ----------/
"popup_dont_have_production_cells","Don't have free cell","Нехватает ячеек для крафта"
"popup_dont_have_ingredients","Don't have ingredients","Нехватает ингредиентов"
"popup_new_production_cell","Buy new production cell?","Купить новый слот производства?"
"popup_storage_full","Storage is full","Склад полон"
/---------- Authentication ----------/
"auth_sign_in_title","Sign In","Войти"
"auth_sign_up_title","Sign Up","Зарегистрироваться"
"auth_email_verification_title","Email Verification","Подтверждение Email"
"auth_email","Email","Email"
"auth_password","Password","Пароль"
"auth_confirm","Confirm","Подтвердить"
"auth_email_already_in_use","Email Already In Use ","Email уже используется"
"auth_invalid_email","Invalid email","Неверный формат email"
"auth_weak_password","Password must be longer 6 symbol","Пароль должен быть длиннее 6 символов"
"auth_missing_password","Missing Password","Пароли не совпадают"
"auth_user_not_found","User not found","Пользователь не найден"
"auth_unverified_email","Unverified Email","Email неверефицирован"
/---------- Other ----------/
"button_need_level","Need Level:","Необходим уровень:"
