"key","English","Russian"
/---------- Trooper Battery ----------/
"trooper_battery_product_default","Trooper battery default","Стандартная батарея штурмовика"
"trooper_battery_component1_star1","Trooper battery component 1","Компонент батареи штурмовика 1"
"trooper_battery_component2_star1","Trooper battery component 2","Компонент батареи штурмовика 2"
"trooper_battery_component3_star1","Trooper battery component 3","Компонент батареи штурмовика 3"
"trooper_battery_component4_star1","Trooper battery component 4","Компонент батареи штурмовика 4"
"trooper_battery_product_star1","Trooper battery","Батарея штурмовика"
/---------- Defender Battery ----------/
"defender_battery_product_default","Defender battery default","Стандартная батарея защитника"
"defender_battery_component1_star1","Defender battery component 1","Компонент батареи защитника 1"
"defender_battery_component2_star1","Defender battery component 2","Компонент батареи защитника 2"
"defender_battery_component3_star1","Defender battery component 3","Компонент батареи защитника 3"
"defender_battery_component4_star1","Defender battery component 4","Компонент батареи защитника 4"
"defender_battery_product_star1","Defender battery","Батарея защитника"
/---------- Support Battery ----------/
"support_battery_product_default","Support battery default","Стандартная батарея поддержки"
"support_battery_component1_star1","Support battery component 1","Компонент батареи поддержки 1"
"support_battery_component2_star1","Support battery component 2","Компонент батареи поддержки 2"
"support_battery_component3_star1","Support battery component 3","Компонент батареи поддержки 3"
"support_battery_component4_star1","Support battery component 4","Компонент батареи поддержки 4"
"support_battery_product_star1","Support battery","Батарея поддержки"
/---------- Sniper Battery ----------/
"sniper_battery_product_default","Sniper battery default","Стандартная батарея снайпера"
"sniper_battery_component1_star1","Sniper battery component 1","Компонент батареи снайпера 1"
"sniper_battery_component2_star1","Sniper battery component 2","Компонент батареи снайпера 2"
"sniper_battery_component3_star1","Sniper battery component 3","Компонент батареи снайпера 3"
"sniper_battery_component4_star1","Sniper battery component 4","Компонент батареи снайпера 4"
"sniper_battery_product_star1","Sniper battery","Батарея снайпера"
