"key","English","Russian"
/---------- Trooper Weapon ----------/
"trooper_weapon_product_default","Trooper weapon default","Стандартное вооружение штурмовика"
"trooper_weapon_component1_star1","Trooper weapon component 1","Компонент вооружения штурмовика 1"
"trooper_weapon_component2_star1","Trooper weapon component 2","Компонент вооружения штурмовика 2"
"trooper_weapon_component3_star1","Trooper weapon component 3","Компонент вооружения штурмовика 3"
"trooper_weapon_component4_star1","Trooper weapon component 4","Компонент вооружения штурмовика 4"
"trooper_weapon_product_star1","Trooper weapon","Вооружение штурмовика"
/---------- Defender Weapon ----------/
"defender_weapon_product_default","Defender weapon default","Стандартное вооружение защитника"
"defender_weapon_component1_star1","Defender weapon component 1","Компонент вооружения защитника 1"
"defender_weapon_component2_star1","Defender weapon component 2","Компонент вооружения защитника 2"
"defender_weapon_component3_star1","Defender weapon component 3","Компонент вооружения защитника 3"
"defender_weapon_component4_star1","Defender weapon component 4","Компонент вооружения защитника 4"
"defender_weapon_product_star1","Defender weapon","Вооружение защитника"
/---------- Support Weapon ----------/
"support_weapon_product_default","Support weapon default","Стандартное вооружение поддержки"
"support_weapon_component1_star1","Support weapon component 1","Компонент вооружения поддержки 1"
"support_weapon_component2_star1","Support weapon component 2","Компонент вооружения поддержки 2"
"support_weapon_component3_star1","Support weapon component 3","Компонент вооружения поддержки 3"
"support_weapon_component4_star1","Support weapon component 4","Компонент вооружения поддержки 4"
"support_weapon_product_star1","Support weapon","Вооружение поддержки"
/---------- Sniper Weapon ----------/
"sniper_weapon_product_default","Sniper weapon default","Стандартное вооружение снайпера"
"sniper_weapon_component1_star1","Sniper weapon component 1","Компонент вооружения снайпера 1"
"sniper_weapon_component2_star1","Sniper weapon component 2","Компонент вооружения снайпера 2"
"sniper_weapon_component3_star1","Sniper weapon component 3","Компонент вооружения снайпера 3"
"sniper_weapon_component4_star1","Sniper weapon component 4","Компонент вооружения снайпера 4"
"sniper_weapon_product_star1","Sniper weapon","Вооружение снайпера"
