"key","English","Russian"
/---------- Menu ----------/
"settings_menu_title","Settings","Настройки"
"production_menu_title","Production","Создание"
"production_menu_button_title","Craft","Создать"
"storage_menu_title","Storage","Склад"
"units_menu_title","Units","Солдаты"
"order_menu_title","Orders","Заказы"
"order_menu_button_title","Trade","Обменять"
"upgrade_title","Upgrade","Улучшение"
"upgrade_button_title","Upgrade","Улучшить"
"select_button_title","Select","Выбрать"
"conversion_menu_title","Conversion","Конвертация"
"conversion_menu_button_title","Convert","Конвертировать"
"craft_cell_complete","Complete","Готово"
"expedition_complete","Expedition complete","Экспедиция завершена"
/---------- Raw ----------/
"raw_none,"None","Пусто"
"raw_weapon","Weapon","Оружие"
"raw_armor","Armor","Броня"
"raw_engine","Engine","Двигатель"
"raw_battery","Battery","Батарея"
"raw_all,"All","Все"
/---------- Weapon Group ----------/
"group_type_none","None","Пусто"
"group_type_weapon","Weapon","Оружие"
"group_type_armor","Armor","Броня"
"group_type_engine","Engine","Двигатель"
"group_type_battery","Battery","Батарея"
"group_type_all","All","Все"
/---------- Units ----------/
"unit_none","None","Пусто"
"unit_trooper","Trooper","Штурмовик"
"unit_defender","Defender","Защитник"
"unit_support","Support","Поддержка"
"unit_sniper","Sniper","Снайпер"
"unit_all","All","Все"
/*---------- Expeditions ----------*/
"location1_title","Location 1","Зона 1"
"location2_title","Location 2","Зона 2"
/---------- Popup ----------/
"popup_dont_have_production_cells","Don't have free cell","Нехватает ячеек для крафта"
"popup_dont_have_ingredients","Don't have ingredients","Нехватает ингредиентов"
"popup_new_production_cell","Buy new production cell?","Купить новый слот производства?"
"popup_storage_full","Storage is full","Склад полон"
