"key","English","Russian"
/---------- Trooper Armor ----------/
"trooper_armor_product_default","Trooper armor default","Стандартная броня штурмовика"
"trooper_armor_component1_star1","Trooper armor component 1","Компонент брони солдата 1"
"trooper_armor_component2_star1","Trooper armor component 2","Компонент брони солдата 2"
"trooper_armor_component3_star1","Trooper armor component 3","Компонент брони солдата 3"
"trooper_armor_component4_star1","Trooper armor component 4","Компонент брони солдата 4"
"trooper_armor_product_star1","Trooper armor","Броня солдата"
/---------- Defender Armor ----------/
"defender_armor_product_default","Defender armor default","Стандартная броня защитника"
"defender_armor_component1_star1","Defender armor component 1","Компонент брони защитника 1"
"defender_armor_component2_star1","Defender armor component 2","Компонент брони защитника 2"
"defender_armor_component3_star1","Defender armor component 3","Компонент брони защитника 3"
"defender_armor_component4_star1","Defender armor component 4","Компонент брони защитника 4"
"defender_armor_product_star1","Defender light","Броня защитника"
/---------- Support Armor ----------/
"support_armor_product_default","Support armor default","Стандартная броня поддержки"
"support_armor_component1_star1","Support armor component 1","Компонент брони поддержки 1"
"support_armor_component2_star1","Support armor component 2","Компонент брони поддержки 2"
"support_armor_component3_star1","Support armor component 3","Компонент брони поддержки 3"
"support_armor_component4_star1","Support armor component 4","Компонент брони поддержки 4"
"support_armor_product_star1","Support armor","Броня поддержки"
/---------- Sniper Armor ----------/
"sniper_armor_product_default","Sniper armor default","Стандартная броня снайпера"
"sniper_armor_component1_star1","Sniper armor component 1","Компонент брони снайпера 1"
"sniper_armor_component2_star1","Sniper armor component 2","Компонент брони снайпера 2"
"sniper_armor_component3_star1","Sniper armor component 3","Компонент брони снайпера 3"
"sniper_armor_component4_star1","Sniper armor component 4","Компонент брони снайпера 4"
"sniper_armor_product_star1","Sniper armor","Броня снайпера"
