"key","English","Russian"
/---------- Trooper Equipment ----------/
"trooper_equipment_product_default","Trooper equipment default","Стандартная экипировка штурмовика"
"trooper_equipment_component1_star1","Smoke grenade component 1","Компонент дымовой гранаты 1"
"trooper_equipment_component2_star1","Smoke grenade component 2","Компонент дымовой гранаты 2"
"trooper_equipment_component3_star1","Smoke grenade component 3","Компонент дымовой гранаты 3"
"trooper_equipment_component4_star1","Smoke grenade component 4","Компонент дымовой гранаты 4"
"trooper_equipment_product_star1","Smoke grenade","Дымовая граната"
/---------- Defender Equipment ----------/
"defender_equipment_product_default","Defender equipment default","Стандартная экипировка защитника"
"defender_equipment_component1_star1","Shield component 1","Компонент щита 1"
"defender_equipment_component2_star1","Shield component 2","Компонент щита 2"
"defender_equipment_component3_star1","Shield component 3","Компонент щита 3"
"defender_equipment_component4_star1","Shield component 4","Компонент щита 4"
"defender_equipment_product_star1","Shield","Щит"
/---------- Support Equipment ----------/
"support_equipment_product_default","Support equipment default","Стандартная экипировка поддержки"
"support_equipment_component1_star1","Aid Kit component 1","Компонент аптечки 1"
"support_equipment_component2_star1","Aid Kit component 2","Компонент аптечки 2"
"support_equipment_component3_star1","Aid Kit component 3","Компонент аптечки 3"
"support_equipment_component4_star1","Aid Kit component 4","Компонент аптечки 4"
"support_equipment_product_star1","Aid Kit","Аптечка"
/---------- Sniper Equipment ----------/
"sniper_equipment_product_default","Sniper equipment default","Стандартная экипировка снайпера"
"sniper_equipment_component1_star1","Navigation component 1","Компонент навигатора 1"
"sniper_equipment_component2_star1","Navigation component 2","Компонент навигатора 2"
"sniper_equipment_component3_star1","Navigation component 3","Компонент навигатора 3"
"sniper_equipment_component4_star1","Navigation component 4","Компонент навигатора 4"
"sniper_equipment_product_star1","Navigation","Навигатор"
