"key","English","Russian"
/*---------- Orders ----------*/
"order_weapon_1_title","Sell: {0}","Продажа: {0}"
"order_weapon_2_title","Sell: {0}","Продажа: {0}"
"order_weapon_3_title","Sell: {0}","Продажа: {0}"
"order_weapon_4_title","Sell: {0}","Продажа: {0}"
"order_armor_1_title","Sell: {0}","Продажа: {0}"
"order_armor_2_title","Sell: {0}","Продажа: {0}"
"order_armor_3_title","Sell: {0}","Продажа: {0}"
"order_armor_4_title","Sell: {0}","Продажа: {0}"
"order_weapon_1_description","Weapon Test 1 description","Оружие тест 1 описание"
"order_armor_1_title","Armor Test 1 title","Одежда тест 1 заголовок"
"order_armor_1_description","Armor Test 1 description","Одежда тест 1 описание"
"order_equipment_1_title","Equipment Test 1 title","Экипировка тест 1 заголовок"
"order_equipment_1_description","Equipment Test 1 description","Экипировка тест 1 описание"
