"key","English","Russian"
/---------- Trooper Skill ----------/
"trooper_skill_product_default","Trooper skill default","Стандартный навык штурмовика"
"trooper_skill_component1_star1","Trooper robotic component 1","Компонент роботехники штурмовика 1"
"trooper_skill_component2_star1","Trooper robotic component 2","Компонент роботехники штурмовика 2"
"trooper_skill_component3_star1","Trooper robotic component 3","Компонент роботехники штурмовика 3"
"trooper_skill_component4_star1","Trooper robotic component 4","Компонент роботехники штурмовика 4"
"trooper_skill_product_star1","Trooper robotic","Роботехника штурмовика"
/---------- Defender Skill ----------/
"defender_skill_product_default","Defender skill default","Стандартный навык защитника"
"defender_skill_component1_star1","Defender robotic component 1","Компонент роботехники защитника 1"
"defender_skill_component2_star1","Defender robotic component 2","Компонент роботехники защитника 2"
"defender_skill_component3_star1","Defender robotic component 3","Компонент роботехники защитника 3"
"defender_skill_component4_star1","Defender robotic component 4","Компонент роботехники защитника 4"
"defender_skill_product_star1","Defender robotic","Роботехника защитника"
/---------- Support Skill ----------/
"support_skill_product_default","Support skill default","Стандартный навык поддержки"
"support_skill_component1_star1","Support robotic component 1","Компонент роботехники поддержки 1"
"support_skill_component2_star1","Support robotic component 2","Компонент роботехники поддержки 2"
"support_skill_component3_star1","Support robotic component 3","Компонент роботехники поддержки 3"
"support_skill_component4_star1","Support robotic component 4","Компонент роботехники поддержки 4"
"support_skill_product_star1","Support robotic","Роботехника поддержки"
/---------- Sniper Skill ----------/
"sniper_skill_product_default","Sniper skill default","Стандартный навык снайпера"
"sniper_skill_component1_star1","Sniper robotic component 1","Компонент роботехники снайпера 1"
"sniper_skill_component2_star1","Sniper robotic component 2","Компонент роботехники снайпера 2"
"sniper_skill_component3_star1","Sniper robotic component 3","Компонент роботехники снайпера 3"
"sniper_skill_component4_star1","Sniper robotic component 4","Компонент роботехники снайпера 4"
"sniper_skill_product_star1","Sniper robotic","Роботехника снайпера"
